,name hebrew,name,var,code,value hebrew ,value
161,,,OFEN_HAZIYA,9,לא ידוע עם חצה,unknown crossing status 
162,מקום חציה (רק בסוג תאונה 1),Crossing location,MEKOM_HAZIYA,1,לא במעבר חציה ליד צומת,near intersection not zebra crossing 
163,,,MEKOM_HAZIYA,2,לא במעבר חציה לא ליד צומת,not near intersection not zebra 
164,,,MEKOM_HAZIYA,3,במעבר חציה בלי רמזור,zebra crossing no traffic light 
165,,,MEKOM_HAZIYA,4,במעבר חציה עם רמזור,zebra crossign with traffic light 
166,,,MEKOM_HAZIYA,9,לא ידוע מקום חציה,unknown crossing point 
167,כיוון חציה (רק בסוג תאונה 1),Crossing direction,KIVUN_HAZIYA,1,מימין לשמאל,from right to left 
168,,,KIVUN_HAZIYA,2,משמאל לימין,from left to right 
169,,,KIVUN_HAZIYA,9,לא ידוע,unknown
170,איכות עיגון,Location quality ,IGUN_MEKUBAZ,1,עיגון מדויק,exact location 
171,,,IGUN_MEKUBAZ,2,מרכז ישוב,center of town 
172,,,IGUN_MEKUBAZ,3,מרכז דרך,center of road 
173,,,IGUN_MEKUBAZ,4,מרכז קילומטר,center of kilometer 
174,,,IGUN_MEKUBAZ,9,לא עוגן,was not located 
